step,dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,openness_precision_macro,openness_precision_micro,openness_recall_macro,openness_recall_micro,num_samples,predictions_file,eval_dir,model
30,labels_only_test,0.8116710875331565,0.6646171950876615,0.7226869455006337,0.6920152091254753,0.6762326626745278,0.6970427230073822,0.6920152091254753,0.7101724658188391,0.6920152091254753,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+30.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-30,gemma
31,labels_only_test,0.8143236074270557,0.6718968391090537,0.7223700887198987,0.6996197718631179,0.6844068806884999,0.7047624494776178,0.6996197718631179,0.7165074426603152,0.6996197718631179,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+31.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-31,gemma
32,labels_only_test,0.8154050464807437,0.6763086741912787,0.7214195183776934,0.7072243346007605,0.6925670550519504,0.7149285512711973,0.7072243346007605,0.7228424195017915,0.7072243346007605,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+32.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-32,gemma
1,labels_withphrase_test,0.6767830045523521,0.5370207016756491,0.5239543726235741,0.5019011406844106,0.4960953452375786,0.6226468624833111,0.5019011406844106,0.46029829233351793,0.5019011406844106,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+1.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-1,gemma
2,labels_withphrase_test,0.38976377952755903,0.3060476988051359,0.21774397972116602,0.4372623574144487,0.32665358771465086,0.7610265867527278,0.4372623574144487,0.44262984739689987,0.4372623574144487,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+2.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-2,gemma
3,labels_withphrase_test,0.6441784548422198,0.5203666962236035,0.5977005250769509,0.4068441064638783,0.39896640301471425,0.5344314929335172,0.4068441064638783,0.4972388477279452,0.4068441064638783,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+3.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-3,gemma
4,labels_withphrase_test,0.5069551777434312,0.39232299241036367,0.407876154263987,0.44106463878326996,0.27429179859455766,0.4796437659033079,0.44106463878326996,0.3367697594501718,0.44106463878326996,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+4.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-4,gemma
5,labels_withphrase_test,0.760898282694848,0.6173859759822089,0.6728770595690747,0.5475285171102662,0.49623766145207154,0.6979464164286685,0.5475285171102662,0.4549148510442575,0.5475285171102662,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+5.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-5,gemma
6,labels_withphrase_test,0.7650834403080873,0.6331792310378925,0.6725602027883396,0.6197718631178707,0.6098962518086124,0.7618679050567595,0.6197718631178707,0.5852699484096643,0.6197718631178707,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+6.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-6,gemma
7,labels_withphrase_test,0.8015873015873016,0.6846492680786836,0.7238910012674271,0.6121673003802282,0.5883171009142363,0.6312651436483213,0.6121673003802282,0.6479716883017961,0.6121673003802282,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+7.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-7,gemma
8,labels_withphrase_test,0.7198838896952104,0.59108523276795,0.5906663045446314,0.6083650190114068,0.5532067310498006,0.6358154920039589,0.6083650190114068,0.6298579434762103,0.6083650190114068,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+8.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-8,gemma
9,labels_withphrase_test,0.7579529737206085,0.6356248867654982,0.6698986058301648,0.6311787072243346,0.6060920044120811,0.7003518750602526,0.6311787072243346,0.6313414952115614,0.6311787072243346,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+9.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-9,gemma
10,labels_withphrase_test,0.7727891156462585,0.6460358688169662,0.703041825095057,0.6501901140684411,0.6489861666557801,0.7005092895380666,0.6501901140684411,0.6394805225242645,0.6501901140684411,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+10.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-10,gemma
11,labels_withphrase_test,0.7884362680683311,0.6654114201991483,0.7318124207858048,0.6806083650190115,0.6821743929266175,0.7057139746958204,0.6806083650190115,0.6887963133856561,0.6806083650190115,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+11.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-11,gemma
12,labels_withphrase_test,0.8067444876783398,0.6824535781637358,0.7284537389100126,0.6958174904942965,0.6889312242840783,0.6955156802485046,0.6958174904942965,0.7028244317299608,0.6958174904942965,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+12.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-12,gemma
13,labels_withphrase_test,0.8036890645586298,0.6751301812230276,0.715634618866558,0.6730038022813688,0.6471678986130088,0.6834204793028323,0.6730038022813688,0.6877393120702636,0.6730038022813688,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+13.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-13,gemma
14,labels_withphrase_test,0.8164383561643835,0.7011674226538448,0.6972116603295311,0.6768060836501901,0.6626569423643894,0.6750818139317438,0.6768060836501901,0.691303468944727,0.6768060836501901,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+14.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-14,gemma
15,labels_withphrase_test,0.8189415041782729,0.6744509718643544,0.7058935361216729,0.714828897338403,0.7125755369177507,0.7174500160898742,0.714828897338403,0.7330702548462983,0.714828897338403,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+15.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-15,gemma
16,labels_withphrase_test,0.8288043478260869,0.6852852821781045,0.7288973384030419,0.7414448669201521,0.7427449919774038,0.7620129113839805,0.7414448669201521,0.7556393422451902,0.7414448669201521,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+16.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-16,gemma
17,labels_withphrase_test,0.8201058201058201,0.6896849750060777,0.7296577946768061,0.7376425855513308,0.7375391936667482,0.7485683538952305,0.7376425855513308,0.7422387451917866,0.7376425855513308,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+17.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-17,gemma
18,labels_withphrase_test,0.8263157894736842,0.7019413388956398,0.7340937896070976,0.7300380228136882,0.728876506679074,0.742678196120819,0.7300380228136882,0.7384654145536894,0.7300380228136882,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+18.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-18,gemma
19,labels_withphrase_test,0.8230563002680965,0.707971606991656,0.7160329531051964,0.7034220532319392,0.6975136952301665,0.707689765705033,0.7034220532319392,0.7133346809514185,0.7034220532319392,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+19.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-19,gemma
20,labels_withphrase_test,0.8268456375838926,0.7148681767548574,0.7143219264892269,0.7034220532319392,0.6955648280743337,0.7051126263976962,0.7034220532319392,0.7158963271547973,0.7034220532319392,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+20.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-20,gemma
21,labels_withphrase_test,0.824966078697422,0.7027458516612788,0.7249683143219265,0.7300380228136882,0.7220307171058387,0.7360792642894239,0.7300380228136882,0.7408993299994434,0.7300380228136882,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+21.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-21,gemma
22,labels_withphrase_test,0.8263795423956931,0.7033879994376532,0.7358048162230673,0.7072243346007605,0.6960918086284842,0.7107993542714618,0.7072243346007605,0.7171812517028325,0.7072243346007605,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+22.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-22,gemma
23,labels_withphrase_test,0.8252688172043011,0.7018675017478672,0.738339670468948,0.7300380228136882,0.7236979218082715,0.7285624211853721,0.7300380228136882,0.741975080783845,0.7300380228136882,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+23.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-23,gemma
24,labels_withphrase_test,0.8299866131191432,0.7116830815841114,0.7420785804816222,0.714828897338403,0.712505764328162,0.7063726178770425,0.714828897338403,0.7325323794540974,0.714828897338403,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+24.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-24,gemma
25,labels_withphrase_test,0.8293333333333334,0.7105134930456182,0.7420785804816222,0.7186311787072244,0.7183015643925057,0.7134248591909881,0.7186311787072244,0.7381203071397393,0.7186311787072244,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+25.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-25,gemma
26,labels_withphrase_test,0.8337801608579088,0.7075084469145108,0.743979721166033,0.7300380228136882,0.7305890161327042,0.7284701999611727,0.7300380228136882,0.7489674608824556,0.7300380228136882,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+26.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-26,gemma
27,labels_withphrase_test,0.8342245989304813,0.7069949302860405,0.7452471482889734,0.7452471482889734,0.7451310791411696,0.7424490790114678,0.7452471482889734,0.7600237883888054,0.7452471482889734,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+27.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-27,gemma
28,labels_withphrase_test,0.8282290279627164,0.6954727752604115,0.7379594423320658,0.7452471482889734,0.7451064471281889,0.7479681448753613,0.7452471482889734,0.7563863914010248,0.7452471482889734,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+28.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-28,gemma
29,labels_withphrase_test,0.8299866131191432,0.6961171920308029,0.7408111533586818,0.752851711026616,0.7508634129294307,0.7547369302598246,0.752851711026616,0.7605698666736979,0.752851711026616,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+29.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-29,gemma
30,labels_withphrase_test,0.821954484605087,0.6896752965898293,0.7319391634980988,0.7452471482889734,0.7416146487267848,0.7541594889463106,0.7452471482889734,0.7562586606433997,0.7452471482889734,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+30.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-30,gemma
31,labels_withphrase_test,0.8252688172043011,0.6901864080207087,0.7330798479087453,0.7262357414448669,0.7221377680977518,0.741629715313926,0.7262357414448669,0.7365148838558282,0.7262357414448669,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+31.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-31,gemma
32,labels_withphrase_test,0.8263795423956931,0.6909034701568427,0.7330798479087453,0.7262357414448669,0.7212772528794303,0.7392098593428095,0.7262357414448669,0.7359770084636276,0.7262357414448669,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_phrase+32.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_phrase/checkpoint-32,gemma
